Feature,SHAP_Importance
Gender and the likelihood of being perceived as a legal immigrant,-2.0133429
"Gender expectations in caregiving roles (e.g., teaching, parenting)",-0.5458236
word usage__tobeverb,-0.46505952
subjectivity,-0.31876272
Gender influencing perceived competence in academic or professional settings,-0.27531993
Stereotypes regarding the reliability and responsibility of young vs. middle-aged individuals,-0.2532236
avg_word_length,-0.21649761
Wealthy individuals vs. those on welfare,-0.19278508
Assumptions about gender roles in household management,-0.17933159
"Occupations linked to economic stability (e.g., professionals vs. blue-collar workers)",-0.1767883
