Feature,Coefficient,Odds Ratio,Probability Increase (%)
stop_words_count,-0.15404622618963137,0.8572323935083698,14.276760649163023
readability grades__ARI,-0.0966264522962321,0.9078950849225133,9.210491507748674
readability grades__LIX,-0.062206439215071054,0.9396888781318677,6.031112186813226
sentence info__wordtypes,-0.058779476208002335,0.9429146813525264,5.708531864747357
word usage__preposition,-0.05623825001669599,0.9453138880092049,5.468611199079509
named_entity_count,-0.054950445834981446,0.9465320513968141,5.346794860318593
Interaction differences between male and female characters.,-0.030549335943494408,0.9699125793345819,3.008742066541814
polarity,-0.017932981534828342,0.9822268574889658,1.7773142511034234
sentence info__complex_words_dc,-0.01396165375944631,0.9861353581215087,1.3864641878491346
avg_word_length,-0.013104369306457772,0.9869811191096431,1.3018880890356854
